Date,Ticker,Open,High,Low,Close,Volume,return_1,return_5,return_10,return_20,ma_dist_5,ma_dist_10,ma_dist_20,ma_dist_50,volatility_5,volatility_10,volatility_20,volume_change,volume_ratio_20,intraday_return,range_pct,close_position,target
1984-11-16,BMRA,6.0,6.25,6.0,6.0,2700,0.0,0.0,0.09090909090909083,-0.07692307692307687,0.01694915254237282,0.01694915254237282,-0.01639344262295076,-0.0008326394671107233,0.061638926081236306,0.04501109966130773,0.05192266894138418,-0.7157894736842105,0.8896210873146623,0.0,0.041666666666666664,0.0,0
1984-11-19,BMRA,6.0,6.25,5.75,5.75,3200,-0.04166666666666663,-0.04166666666666663,0.0,-0.11538461538461542,-0.017094017094017033,-0.02542372881355938,-0.05154639175257732,-0.04405652535328341,0.06463857275061069,0.045736643826213515,0.05264186700108162,0.18518518518518512,1.0126582278481013,-0.041666666666666664,0.08695652173913043,0.0,1
1984-11-20,BMRA,6.0,6.0,6.0,6.0,2200,0.04347826086956519,0.09090909090909083,0.04347826086956519,-0.11111111111111116,0.008403361344537785,0.012658227848101297,-0.004149377593361055,-0.004975124378109493,0.05042694716057841,0.04766347238934612,0.052869956705183734,-0.3125,0.7599309153713298,0.0,0.0,0.5,0
1984-11-21,BMRA,5.75,5.75,5.75,5.75,5700,-0.04166666666666663,-0.04166666666666663,-0.04166666666666663,-0.14814814814814814,-0.02542372881355938,-0.02542372881355938,-0.03765690376569032,-0.04722452361226183,0.03551371576674895,0.04768798267891681,0.05350138002793214,1.5909090909090908,1.847649918962723,0.0,0.0,0.5,0
1984-11-23,BMRA,5.75,5.75,5.25,5.75,1600,0.0,-0.04166666666666663,-0.04166666666666663,-0.14814814814814814,-0.017094017094017033,-0.02127659574468085,-0.029535864978902926,-0.049586776859504106,0.03551371576674895,0.04768798267891681,0.05350138002793214,-0.7192982456140351,0.512,0.0,0.08695652173913043,1.0,0
1984-11-26,BMRA,5.75,5.75,5.75,5.75,1800,0.0,-0.04166666666666663,-0.04166666666666663,-0.11538461538461542,-0.008620689655172384,-0.017094017094017033,-0.02335456475583867,-0.051155115511551094,0.03551371576674895,0.04768798267891681,0.05302990654341437,0.125,0.565149136577708,0.0,0.0,0.5,0
1984-11-27,BMRA,5.75,5.75,5.75,5.75,2300,0.0,0.0,-0.04166666666666663,-0.11538461538461542,-0.008620689655172384,-0.012875536480686725,-0.017094017094017033,-0.05427631578947369,0.03010736581237999,0.04768798267891681,0.05302990654341437,0.2777777777777777,0.71875,0.0,0.0,0.5,0
1984-11-28,BMRA,5.75,5.75,5.75,5.75,1100,0.0,-0.04166666666666663,0.045454545454545414,-0.07999999999999996,0.0,-0.017094017094017033,-0.012875536480686725,-0.057377049180327815,0.018633899812498186,0.0385377058079198,0.05243555428810957,-0.5217391304347826,0.3525641025641026,0.0,0.0,0.5,0
1984-11-29,BMRA,5.5,5.5,5.25,5.25,2400,-0.08695652173913049,-0.08695652173913049,-0.125,-0.16000000000000003,-0.0707964601769912,-0.09090909090909097,-0.09090909090909097,-0.1400491400491401,0.038888138739126776,0.03545873974855844,0.055696091679442374,1.1818181818181817,0.7643312101910829,-0.045454545454545456,0.047619047619047616,0.0,1
1984-11-30,BMRA,5.25,5.5,5.0,5.5,8300,0.04761904761904767,-0.04347826086956519,-0.08333333333333337,0.04761904761904767,-0.017857142857142794,-0.03930131004366806,-0.049676025917926504,-0.09983633387888712,0.04878402144935204,0.040227748599047666,0.04377798019426479,2.4583333333333335,2.5304878048780486,0.047619047619047616,0.09090909090909091,1.0,0
